,.id,synsetOffset,lexFilenum,lexFileName,pos,posName,wCnt,words,pCnt,pointers,frames,gloss
100,adj,00009346,00,all adjective clusters,s,Adjective Sattellite,2,abstinent 0 abstentious 0,6,& 00009046 a 0000 + 04882622 n 0202 + 09757944 n 0102 + 04882622 n 0101 + 01068773 n 0101 + 01196037 v 0101,NA,self-restraining; not indulging an appetite especially for food or drink; "not totally abstinent but abstemious"  
101,adj,00009618,00,all adjective clusters,s,Adjective Sattellite,4,ascetic 0 ascetical 0 austere 0 spartan 0,4,& 00009046 a 0000 + 04881998 n 0301 + 09758173 n 0202 + 09758173 n 0102,NA,practicing great self-denial; "Be systematically ascetic...do...something for no other reason than that you would rather not do it"- William James; "a desert nomad's austere life"; "a spartan diet"; "a spartan existence"   
102,adj,00004413,00,all adjective clusters,a,Adjective,1,abridged 0,5,^ 01442186 a 0000 ! 00004980 a 0101 & 00004615 a 0000 & 00004723 a 0000 & 00004817 a 0000,NA,(used of texts) shortened by condensing or rewriting; "an abridged version"  
103,adj,00005107,00,all adjective clusters,s,Adjective Sattellite,2,full-length 0 uncut 0,1,& 00004980 a 0000,NA,complete; "the full-length play"
104,noun,00001740,03,unique beginner for nouns,n,Noun,1,entity 0,3,~ 00001930 n 0000 ~ 00002137 n 0000 ~ 04424418 n 0000,NA,that which is perceived or known or inferred to have its own distinct existence (living or nonliving)  
105,noun,00001930,03,unique beginner for nouns,n,Noun,1,physical_entity 0,7,@ 00001740 n 0000 ~ 00002452 n 0000 ~ 00002684 n 0000 ~ 00007347 n 0000 ~ 00020827 n 0000 ~ 00029677 n 0000 ~ 14580597 n 0000,NA,an entity that has physical existence  
106,noun,00002137,03,unique beginner for nouns,n,Noun,2,abstraction 0 abstract_entity 0,10,@ 00001740 n 0000 + 00692329 v 0101 ~ 00023100 n 0000 ~ 00024264 n 0000 ~ 00031264 n 0000 ~ 00031921 n 0000 ~ 00033020 n 0000 ~ 00033615 n 0000 ~ 05810143 n 0000 ~ 07999699 n 0000,NA,a general concept formed by extracting common features from specific examples  
107,noun,00002452,03,unique beginner for nouns,n,Noun,1,thing 0,9,@ 00001930 n 0000 ~ 04347225 n 0000 ~ 09225146 n 0000 ~ 09312645 n 0000 ~ 09367203 n 0000 ~ 09385911 n 0000 ~ 09407867 n 0000 ~ 09465459 n 0000 ~ 09468959 n 0000,NA,a separate and self-contained entity  
108,noun,00002684,03,unique beginner for nouns,n,Noun,2,object 0 physical_object 0,39,@ 00001930 n 0000 + 00532607 v 0105 ~ 00003553 n 0000 ~ 00027167 n 0000 ~ 03009633 n 0000 ~ 03149951 n 0000 ~ 03233423 n 0000 ~ 03338648 n 0000 ~ 03532080 n 0000 ~ 03595179 n 0000 ~ 03610270 n 0000 ~ 03714721 n 0000 ~ 03892891 n 0000 ~ 04012260 n 0000 ~ 04248010 n 0000 ~ 04345288 n 0000 ~ 04486445 n 0000 ~ 07851054 n 0000 ~ 09238143 n 0000 ~ 09251689 n 0000 ~ 09267490 n 0000 ~ 09279458 n 0000 ~ 09281777 n 0000 ~ 09283193 n 0000 ~ 09287968 n 0000 ~ 09295338 n 0000 ~ 09300905 n 0000 ~ 09302031 n 0000 ~ 09308398 n 0000 ~ 09334396 n 0000 ~ 09335240 n 0000 ~ 09358550 n 0000 ~ 09368224 n 0000 ~ 09407346 n 0000 ~ 09409203 n 0000 ~ 09432990 n 0000 ~ 09468237 n 0000 ~ 09474162 n 0000 ~ 09477037 n 0000,NA,a tangible and visible entity; an entity that can cast a shadow; "it was full of rackets, balls and other objects"  
109,noun,00003553,03,unique beginner for nouns,n,Noun,2,whole 0 unit 0,15,@ 00002684 n 0000 + 01462005 v 0204 + 00367685 v 0201 + 01385458 v 0201 + 00368109 v 0201 + 00784215 a 0103 ~ 00003993 n 0000 ~ 00004258 n 0000 ~ 00019128 n 0000 ~ 00021939 n 0000 ~ 02749953 n 0000 ~ 03588414 n 0000 %p 03892891 n 0000 %p 04164989 n 0000 ~ 04353803 n 0000,NA,an assemblage of parts that is regarded as a single entity; "how big is that part compared to the whole?"; "the team is a unit"  
